Authors;Scores
M.;1050.16
A.;1048.39
S.;1028.01
J.;812.94
Y.;612.98
C.;568.52
H.;490.19
L.;484.62
Wang;463.12
R.;459.50
D.;434.97
K.;423.22
T.;417.61
P.;375.98
E.;362.96
Li;350.06
G.;347.70
N.;340.67
Zhang;334.11
F.;332.05
B.;325.67
X.;310.23
Liu;273.20
Chen;258.41
Z.;251.57
W.;223.48
I.;178.91
Yang;174.90
V.;165.72
Wu;140.83
Lee;132.81
Kim;123.72
Q.;121.48
Xu;111.95
Zhao;107.79
Zhou;107.42
Huang;96.89
Yu;88.39
O.;87.12
M.A.;86.14
Zhu;83.96
Guo;74.35
Lin;72.57
Lu;69.54
Ma;67.32
Gao;62.94
J.M.;61.98
Sun;61.58
Zheng;60.12
Singh;59.23
Hu;57.16
J.A.;56.31
Jiang;55.63
Park;54.58
He;54.11
A.M.;53.00
S.A.;49.12
S.M.;48.64
U.;47.90
M.S.;45.30
Khan;44.76
Tang;43.95
Yao;43.61
Shi;43.46
Han;43.37
Ding;41.88
Song;41.80
M.M.;41.05
Luo;40.47
A.A.;39.85
J.L.;37.76
Cheng;37.63
Cao;36.97
Su;36.25
A.J.;36.03
A.K.;35.89
Xie;35.17
Yan;34.94
Liang;34.85
Du;34.49
Kumar;34.46
J.D.;33.86
Tan;33.10
D.A.;32.75
M.J.;32.32
Choi;32.12
A.S.;31.90
Feng;31.56
Tian;31.30
A.R.;31.22
M.R.;31.03
J.C.;30.64
Ye;30.08
R.M.;29.24
Shen;29.02
C.A.;28.97
M.C.;27.78
S.J.;27.56
K.M.;27.30
Yin;27.25
C.M.;27.01
Dong;26.99
Nguyen;26.91
Wei;26.74
J.J.;26.46
A.E.;26.45
Fu;26.45
Fan;26.25
Pan;26.23
Chang;26.21
Hou;26.20
Jin;25.54
M.P.;25.49
Qi;25.13
Xiao;25.06
S.S.;24.82
Cui;24.52
J.S.;24.28
Sharma;24.20
Ren;24.19
K.A.;24.07
R.A.;23.97
Yuan;23.89
M.H.;23.85
M.L.;23.46
J.R.;23.38
S.K.;22.98
M.E.;22.88
Gu;22.86
Gupta;22.52
Patel;22.47
Peng;22.24
Miller;21.52
M.D.;21.19
N.A.;21.18
Xia;21.00
Zou;20.92
Cai;20.79
Wong;20.76
Smith;20.56
C.J.;20.34
L.M.;20.13
R.J.;20.08
A.D.;20.07
Ali;20.02
J.H.;19.90
M.G.;19.85
A.L.;19.77
Deng;19.67
A.C.;19.49
Hong;19.44
Yi;19.27
E.A.;19.12
Xue;19.12
Ahmed;19.10
Kwon;19.06
T.J.;19.06
J.K.;19.02
S.E.;18.70
Anderson;18.62
A.H.;18.57
P.A.;18.36
Fang;18.35
E.M.;18.29
C.L.;18.26
S.L.;18.20
Shin;18.17
L.J.;18.10
Qin;18.04
Das;18.04
J.E.;17.79
D.S.;17.76
D.J.;17.70
A.B.;17.67
M.F.;17.60
Dai;17.60
Jalal;17.47
Wan;17.38
S.P.;17.32
Bai;17.31
Cho;17.31
C.R.;17.23
D.M.;17.03
Uddin;16.87
S.R.;16.77
Gong;16.71
Shah;16.59
Kang;16.55
E.J.;16.51
A.P.;16.42
Hao;16.41
R.L.;16.23
Thomas;16.19
Davis;16.17
N.M.;16.01
Brown;15.98
A.N.;15.98
S.C.;15.89
M.N.;15.88
L.A.;15.77
Lv;15.74
M.T.;15.54
Meng;15.46
M.V.;15.43
Tsai;15.42
Zhong;15.42
Taylor;15.41
Hussain;15.39
P.M.;15.37
J.P.;15.31
T.M.;15.31
B.M.;15.23
Liao;15.22
Johnson;15.20
A.G.;15.15
Suzuki;14.95
J.B.;14.90
D.R.;14.90
Wen;14.86
Silva;14.80
P.J.;14.76
M.K.;14.75
B.A.;14.54
I.A.;14.52
D.K.;14.40
B.J.;14.34
Rodrigues;14.29
J.T.;14.15
Hossain;14.08
Wilson;14.04
F.A.;13.98
Lai;13.96
Y.-C.;13.95
Hassan;13.94
Jia;13.93
Roy;13.80
Islam;13.74
Tanaka;13.72
Saha;13.72
S.N.;13.57
Chung;13.51
Long;13.42
J.W.;13.39
N.D.;13.29
Tong;13.27
Jain;13.21
Ng;13.04
S.D.;12.92
Lim;12.84
C.E.;12.84
J.-H.;12.83
L.C.;12.81
S.H.;12.75
Jones;12.75
Ahmad;12.75
R.C.;12.72
D.C.;12.65
A.F.;12.65
M.B.;12.58
Xiong;12.54
K.L.;12.48
K.J.;12.40
N.S.;12.40
Vishwakarma;12.36
G.A.;12.33
White;12.26
Duan;12.26
Ferrari;12.23
Thakur;12.23
Zeng;12.21
B.S.;12.21
K.E.;12.13
Kong;12.10
A.V.;12.08
Garcia;12.05
A.T.;11.98
C.-H.;11.97
