Authors;Scores
Tao F.;22.01
Qi Q.;12.95
Zhang H.;9.10
Lu Y.;8.80
El Saddik A.;7.82
Ivanov D.;7.22
Liu Q.;6.69
Schluse M.;6.63
Tuegel E.J.;6.53
Negri E.;6.53
Liu J.;6.29
Wärmefjord K.;6.23
Zhang M.;6.08
Söderberg R.;6.02
Leng J.;5.88
Xu X.;5.60
Malik A.A.;5.39
Rossmann J.;5.20
Uhlemann T.H.-J.;4.96
Schleich B.;4.82
Park K.T.;4.66
Kraft E.M.;4.61
Liu C.;4.44
Bilberg A.;4.40
Damjanovic-Behrendt V.;4.12
Zheng P.;4.10
Fumagalli L.;3.98
Canedo A.;3.91
Autiosalo J.;3.90
Lutters E.;3.66
Zhang C.;3.53
Alam K.M.;3.53
Kaewunruen S.;3.51
Graessler I.;3.45
Liu Y.;3.44
Ríos J.;3.33
Haag S.;3.24
Zhang Y.;3.12
Weyer S.;3.09
Schuh G.;3.08
Rosen R.;3.01
Um J.;2.95
Ewins D.J.;2.93
Biesinger F.;2.91
Lehmann C.;2.84
Macchi M.;2.81
Li C.;2.81
Wang L.;2.80
Liu X.;2.76
Kuts V.;2.76
Weyrich M.;2.75
Lanz M.;2.75
Zhuang C.;2.71
Brenner B.;2.70
Talkhestani B.A.;2.68
Kuehn W.;2.67
David J.;2.62
Chen X.;2.60
Aivaliotis P.;2.59
Cheng J.;2.57
Anderl R.;2.51
Hochhalter J.;2.46
Kunath M.;2.45
Starly B.;2.45
Hu L.;2.45
Dolgui A.;2.43
Reifsnider K.;2.38
Sierla S.;2.36
Wang X.V.;2.35
Atorf L.;2.33
Xu Y.;2.33
Poehler A.;2.30
Schroeder G.N.;2.30
Zhou G.;2.29
Nee A.Y.C.;2.29
Wang J.;2.29
Yan D.;2.27
Delbrügger T.;2.27
Pham A.-D.;2.26
Priggemeyer M.;2.25
Cai Y.;2.19
Stark R.;2.16
Zhou H.;2.15
Moreno A.;2.14
Ding K.;2.13
Kritzinger W.;2.13
Anwer N.;2.12
Kusiak A.;2.10
Cimino C.;2.08
Nikolakis N.;2.07
He Y.;2.02
Liu A.;1.98
Teslya N.;1.95
Raman V.;1.94
Lohtander M.;1.92
Jazdi N.;1.92
DebRoy T.;1.91
Cerrone A.;1.91
Alexopoulos K.;1.89
Wang W.;1.88
Gabor T.;1.87
Jung T.;1.84
Longo F.;1.84
Zakrajsek A.J.;1.82
Lu R.;1.82
Vachalek J.;1.82
Zhang J.;1.81
Howard D.;1.81
Kockmann N.;1.81
Hummel V.;1.80
Von Wichert G.;1.78
Bielefeldt B.;1.78
Tabar R.S.;1.76
Ayani M.;1.76
Urbina Coronado P.D.;1.76
Lobov A.;1.75
Poppe A.;1.75
Lindkvist L.;1.74
Ciavotta M.;1.73
Laaki H.;1.73
Janda P.;1.73
Georgoulias K.;1.73
Ingraffea A.R.;1.72
Padovano A.;1.71
Steinhilper R.;1.69
Dahmen U.;1.69
Vrchota J.;1.69
Scaglioni B.;1.69
Mawson V.J.;1.69
Buldakova T.I.;1.68
Lee J.;1.67
Ahn H.-J.;1.65
Angrish A.;1.64
Barricelli B.R.;1.64
Winkler H.;1.63
Kobryn P.;1.63
Hernández J.C.;1.63
Ardanza A.;1.63
Otto T.;1.61
Miller A.M.;1.61
Ghosh A.K.;1.60
Zhang W.;1.58
Zweber J.;1.56
Zuo Y.;1.56
Meike D.;1.55
Weber C.;1.54
Marty C.;1.54
Segura Á.;1.53
Steinmetz C.;1.53
Avventuroso G.;1.53
Wang Y.;1.52
Helu M.;1.52
Hu T.;1.52
Ye L.;1.51
Horváth G.;1.51
Bazilevs Y.;1.51
Botkina D.;1.50
Wagner C.;1.50
Noh S.D.;1.50
Liu Z.;1.50
Oliva M.;1.48
Cheng Y.;1.48
Zhao D.;1.47
Sui F.;1.45
Liau Y.;1.44
Chen C.-H.;1.43
Li J.;1.42
Jeon B.;1.42
Karner M.;1.42
Konstantinov S.;1.41
Mandolla C.;1.41
Lin T.-J.;1.40
Menato S.;1.40
Jiang P.;1.40
Denos B.R.;1.40
Brandenbourger B.;1.40
Kannan K.;1.40
Love P.E.D.;1.40
Kraft J.;1.40
Short M.;1.40
Mantravadi S.;1.40
Ebrahimi A.;1.40
Silkina G.;1.40
Lutze R.;1.40
Baruffaldi G.;1.39
Majumdar P.K.;1.39
Tygesen U.T.;1.39
Schock C.;1.39
Carlson J.S.;1.39
Gandzha S.;1.38
Zipper H.;1.38
Vrabič R.;1.37
Wartzack S.;1.36
Brilakis I.;1.36
Guo J.;1.35
Mayr A.;1.35
Kousi N.;1.35
Ahmad M.;1.35
Harrison R.;1.35
Vathoopan M.;1.34
Papacharalampopoulos A.;1.34
Lee Y.-S.;1.33
Grube D.;1.33
Smarslok B.P.;1.33
Fourgeau E.;1.33
Scheifele C.;1.33
Martin G.;1.31
Xu W.;1.30
Bauer H.;1.30
Geris L.;1.30
Zhao R.;1.29
Hassanaly M.;1.29
Karakra A.;1.29
Arafsha F.;1.28
Laamarti F.;1.28
Hehr A.;1.27
Al-Saeed Y.;1.27
Qamsane Y.;1.26
Blaga A.;1.26
Oyekan J.O.;1.26
Shahriar M.R.;1.25
Belzner L.;1.24
Guerra R.H.;1.24
Cioroaica E.;1.23
Nicoletti L.;1.22
Fresemann C.;1.22
Meyer T.;1.22
Neto L.;1.22
Guo F.;1.22
Chryssolouris G.;1.22
Lian Q.;1.22
Mall S.;1.22
Blum M.;1.22
