Authors;Scores
Varni J.W.;10.88
Burwinkle T.M.;4.24
Limbers C.A.;3.40
Bhattacharyya N.;3.32
Dimick J.B.;1.84
Seid M.;1.84
Lee J.;1.52
Zhang X.;1.50
Chen H.;1.48
Panepinto J.A.;1.41
Gupta R.;1.38
Msall M.E.;1.28
Liu J.;1.23
Wang J.;1.22
Bulloch B.;1.20
Eiser C.;1.12
Uzark K.;1.10
Manz F.;1.07
Anderson F.A.;1.03
Lozano P.;1.03
Hanson L.C.;1.02
Breslau N.;1.00
Clements P.J.;1.00
Nathan D.M.;1.00
Lopez R.;1.00
Kagermann H.;1.00
Liu Z.P.;1.00
Le C.H.H.;1.00
Kelman L.;1.00
Värnik P.;1.00
Midanik L.T.;1.00
Jensen C.;1.00
Hauser R.G.;1.00
Capella-McDonnall M.E.;1.00
Richardson D.B.;1.00
Lonstein J.E.;1.00
Embleton N.D.;1.00
Karvonen M.;1.00
Rabiu M.M.;1.00
Bare J.;1.00
Gulliford M.C.;1.00
Schwartz D.A.;1.00
Bovell-Benjamin A.C.;1.00
Murphy N.;1.00
Sellen D.W.;1.00
Forbes J.F.;1.00
Ljung R.C.R.;1.00
Ho T.-P.;1.00
Spertus J.A.;1.00
Wang Y.;0.99
Cooper G.S.;0.98
Owen C.G.;0.98
Olfson M.;0.95
Aceto G.;0.95
Willett W.C.;0.93
Zhang Y.;0.89
Fergusson D.M.;0.89
Wang X.;0.88
Redfern J.;0.88
Courneya K.S.;0.88
Xu X.;0.88
Berenson A.B.;0.87
Coker A.L.;0.86
Deo R.C.;0.86
Fonarow G.C.;0.85
Basu R.;0.84
Rabinowitz H.K.;0.83
Borges G.;0.83
Grant B.F.;0.81
Melbye M.;0.81
He D.;0.80
Tenenbein M.;0.80
Cumming R.G.;0.80
Bø K.;0.80
Chen L.;0.80
Rahman A.;0.80
Li C.;0.80
Moses III H.;0.78
Dorsey E.R.;0.78
Hiscock H.;0.77
Janghorbani M.;0.77
Li N.;0.77
Kohn M.A.;0.75
Farr B.M.;0.75
Hall M.;0.75
Tanwar S.;0.75
Hedderson M.M.;0.75
Cohen M.M.;0.75
Markland A.D.;0.75
Nash D.;0.74
Zilberberg M.D.;0.74
Smith R.;0.74
Ferrara A.;0.73
Bagheri B.;0.73
Wadden T.A.;0.73
Camargo Jr. C.A.;0.73
Beesdo K.;0.73
Parker S.L.;0.73
Palmer S.N.;0.73
He J.;0.72
Kobelt G.;0.72
Salgado C.D.;0.72
Ray G.T.;0.72
Macdonald H.M.;0.72
Wentz A.;0.72
Huang L.;0.71
Goldstein S.L.;0.71
Nguyen H.B.;0.71
Fann J.R.;0.71
Macfarlane G.J.;0.71
Pronovost P.J.;0.70
Frayne S.M.;0.70
Rehm J.;0.70
Platt L.;0.70
Hannestad Y.S.;0.69
Lubans D.R.;0.69
Chang Y.;0.69
Leino-Arjas P.;0.69
Cook D.;0.68
Lederle F.A.;0.68
Fromme H.;0.68
Shapiro N.I.;0.67
Berkley J.A.;0.67
Schiff M.;0.67
Hinz A.;0.67
Burmester G.R.;0.67
Burt R.K.;0.67
Gurwitz J.H.;0.67
Magill S.S.;0.67
Peltzer K.;0.67
Hernández-Díaz S.;0.66
Karter A.J.;0.66
Liu Y.;0.66
Menke A.;0.66
Low N.;0.65
Boyko E.J.;0.64
Tworoger S.S.;0.64
Roberts M.J.;0.64
Meeske K.A.;0.64
Alonso E.M.;0.63
Persico V.;0.63
Koenig J.Q.;0.63
Kocalevent R.-D.;0.63
Korenromp E.L.;0.63
Patel S.;0.62
Goldberg R.J.;0.62
Corley D.A.;0.62
Franceschi S.;0.62
Samet J.M.;0.62
Howell M.D.;0.61
Freedman S.B.;0.61
Yasui Y.;0.61
Wong T.Y.;0.61
Stiell I.G.;0.60
Rortveit G.;0.60
Weinsier R.L.;0.60
Romijn J.A.;0.60
Katelaris A.G.;0.60
Resnick B.;0.60
Fairfax J.A.W.;0.60
García Rodríguez L.A.;0.60
Sanders G.D.;0.60
Connelly M.;0.60
Spencer W.F.;0.60
Smart J.;0.60
Negin J.;0.60
Tomar S.L.;0.60
Trim J.C.;0.60
Walters R.D.M.;0.60
Melles R.B.;0.60
Rodriguez-Romo L.A.;0.60
Osborne G.A.;0.60
Pendrys D.G.;0.60
Frost J.J.;0.60
Mettlin C.J.;0.60
Gerbino P.P.;0.60
Getter K.L.;0.60
Haakstad L.A.H.;0.60
Lehman E.M.;0.60
Bareford D.;0.60
Jia H.;0.60
Francis M.E.;0.60
Müller G.C.;0.60
Stangier J.;0.60
El-Said G.F.;0.60
Rahman M.;0.60
Yung M.;0.60
Reis M.S.;0.60
Threlfall T.J.;0.60
Jelovsek J.E.;0.60
Jones R.K.;0.60
Fanning J.R.;0.60
Schwartz B.S.;0.60
Roghmann K.J.;0.60
Dupont W.D.;0.60
Del Valls T.A.;0.60
Haahr J.P.;0.60
Phillips C.M.;0.60
Rotman S.R.;0.60
Aché A.;0.60
Ruhl C.E.;0.60
Hillner B.E.;0.60
Hazuka M.B.;0.60
Wong I.L.K.;0.60
Stamatakis E.;0.60
Eissenberg T.;0.60
Payne N.;0.60
Nygren O.;0.60
Olowu W.A.;0.60
O'Kelly T.J.;0.60
Deutsch J.;0.60
Parish J.M.;0.60
Jeevaratnam D.R.;0.60
Maizels M.;0.60
Ma J.;0.60
Kubo A.;0.60
Blazer D.G.;0.60
Nilsen T.I.L.;0.60
VUORI E.;0.60
Lane B.R.;0.60
Haakstad L.A.;0.60
Bunting B.A.;0.60
Matta B.;0.60
Durbin Jr. C.G.;0.60
Matics T.J.;0.60
Lauderdale D.S.;0.60
Fei C.;0.60
Klekamp J.;0.60
Thuemmler C.;0.60
Meckling K.A.;0.60
Bergdahl J.;0.60
Haley R.W.;0.60
Borreani G.;0.60
Ahroni J.H.;0.60
Chakrabarti S.;0.60
Hamelsky S.W.;0.60
Katz A.;0.60
Ng S.K.S.;0.60
He M.;0.60
Wotton C.J.;0.60
Escribà-Agüir V.;0.60
Tang C.-H.;0.60
