Institutions;Scores
;14.00
Edinburgh Napier University;3.25
University of Naples Federico II;2.01
Robert Morris University;1.47
Vienna University of Technology;1.00
University of Liverpool;1.00
Otto-von-Guericke University;1.00
Otto-von-Guericke-Universität;1.00
Czech Technical University in Prague;1.00
University of Kashmir;1.00
University of Ottawa;1.00
University of Sao Paulo;1.00
Universidade Estadual de Campinas - UNICAMP;1.00
Profesor de Filosofiá Moral en la Universitat Jaume i;1.00
Magister Teknik Informatika Universitas Atma Jaya Yogyakarta;1.00
Cracow University of Economics;1.00
Escola Politécnica da Universidade de São Paulo;1.00
University of Strathclyde;1.00
Columbia University;1.00
Brno University of Technology;1.00
Huawei European Research Center;1.00
Amity University Haryana;1.00
University of la Laguna;1.00
AHEPA University Hospital;0.83
University of Rome Tor Vergata;0.80
Peter the Great St. Petersburg Polytechnic University;0.60
Dayananda Sagar University;0.60
University of Nigeria Teaching Hospital;0.60
University of Naples Federico II - Department of Information Technology and Electrical Engineering;0.60
University of Campinas;0.60
University of Milano Bicocca;0.60
King Saud University;0.60
Universita degli Studi di Bergamo;0.60
Info-Matrix Corporation;0.60
Aristotle University of Thessaloniki;0.55
Taipei Medical University;0.53
Ghent University;0.47
Yale University School of Medicine;0.47
University of Salento;0.42
Fudan University;0.40
Polytechnicheskaya 29;0.40
Tirthankara Mahaveer University;0.40
Stetson University;0.40
Polytechnic University of Turin - Department of Electronics and Telecommunications;0.40
Nueva Granada Military University;0.40
University of Nigeria Enugu Campus;0.40
Kingston University;0.37
Indiana University School of Medicine;0.32
California University of Pennsylvania;0.32
Ghent University Hospital;0.32
Sapienza University of Rome;0.28
Taipei Medical University Hospital;0.24
Technical University of Cluj-Napoca;0.21
Pennsylvania State University;0.21
Modul University;0.21
Université de Bordeaux;0.18
Polytechnic University of Turin;0.11
Takming University of Science and Technology;0.11
University of South Australia;0.07
Hasanuddin University;0.05
