Institutions;Scores
;183.00
Chalmers University of Technology;15.20
RWTH Aachen University;13.51
Beihang University;13.38
University of Patras;10.00
Budapest University of Technology and Economics;9.80
South Ural State University;9.52
Georgia Institute of Technology;8.75
University of Stuttgart;8.71
Institute for Man-Machine Interaction;8.07
University of Ottawa;7.00
University of Warwick;6.57
Cranfield University;6.30
Guangdong University of Technology;5.96
Peter the Great St. Petersburg Polytechnic University;5.68
Tallinn University of Technology;5.47
University of Michigan;5.20
Technical University of Munich;4.80
Kennesaw State University;4.79
Sungkyunkwan University;4.60
University of Sheffield;4.19
Beijing Institute of Technology;4.12
Institute of Industrial Automation and Software Engineering;4.08
University of Twente;4.05
Saint Petersburg National Research University of Information Technologies;4.00
Tampere University of Technology;3.80
Aalto University;3.62
Shanghai University;3.60
University of South Carolina;3.47
KTH Royal Institute of Technology;3.43
Technische Universität Darmstadt;3.40
University of Bremen;3.40
Wuhan University of Technology;3.38
ITMO University;3.20
National University of Singapore;3.17
University of Southern Denmark;3.12
NASA Langley Research Center;3.12
University of Bristol;3.07
Nanyang Technological University;3.05
Rochester Institute of Technology;3.02
AGH University of Science and Technology;3.00
University of Tokyo;3.00
Tsinghua University;3.00
Chung-Ang University;3.00
University of Ljubljana;2.92
Institute for Manufacturing;2.89
Jiangsu University of Science and Technology;2.78
Zhejiang University;2.76
Aalborg University;2.61
Arizona State University;2.61
The University of Sheffield;2.60
Dalian University of Technology;2.55
North Carolina State University;2.40
National Institute of Standards and Technology;2.40
Carnegie Mellon University;2.32
Chongqing University;2.32
Xi'an Jiaotong University;2.28
University of Auckland;2.21
Lappeenranta University of Technology;2.20
Shanghai Jiao Tong University;2.19
Purdue University;2.17
The University of Auckland;2.08
National Research University Higher School of Economics;2.07
University of Cincinnati;2.00
China Electric Power Enterprise Association Electric Power Development Research Institute;2.00
Polytechnic University of Madrid;2.00
Polytechnic of Leiria;2.00
Genoa University;2.00
Bayreuth University95447;2.00
The University of Birmingham;2.00
Bauman Moscow State Technical University;2.00
National Technical University of Athens;2.00
University of Calabria;2.00
Fraunhofer Institute for Factory Operation and Automation IFF;2.00
Kitami Institute of Technology;2.00
Soongsil University;2.00
Vanderbilt University;2.00
Fraunhofer Institute for Structural Durability and System Reliability LBF;2.00
