Authors;Scores
Huang G.H.;10.35
Chang N.-B.;6.34
Zaman A.U.;6.20
Wilson D.C.;4.87
Christensen T.H.;4.84
Li Y.P.;4.46
Singh A.;4.25
Tam V.W.Y.;4.23
Ali M.;4.23
Yuan H.;4.11
Li Y.;3.97
Huang G.;3.69
Mmereki D.;3.56
Nema A.K.;3.52
Abduli M.A.;3.42
Xu Y.;3.40
Eriksson O.;3.22
Brunner P.H.;2.93
Al-Khatib I.A.;2.72
Siwar C.;2.60
El-Fadel M.;2.53
Wilson E.J.;2.47
Sukholthaman P.;2.27
Shekdar A.V.;2.24
Ezebilo E.E.;2.20
Zhang X.;2.18
Zhao W.;2.02
Alwaeli M.;2.00
Cleary J.;2.00
Ikhlayel M.;2.00
Rao P.H.;2.00
Aydin N.;2.00
Gottinger H.W.;2.00
Sweeten D.W.;2.00
Porteous A.;2.00
Mbuligwe S.E.;2.00
Kadama F.R.K.;2.00
Blenkharn J.I.;2.00
Seadon J.K.;2.00
Wu Z.;1.96
Sharma A.;1.94
Richter A.;1.93
Tseng M.-L.;1.87
Pires A.;1.86
Tan S.T.;1.80
Fellner J.;1.80
Di Foggia G.;1.80
Ahluwalia P.K.;1.80
Gheewala S.H.;1.79
Rigamonti L.;1.70
He L.;1.69
Chung S.S.;1.67
Baetz B.W.;1.67
Tabata T.;1.66
Manfredi S.;1.65
Brotosusilo A.;1.62
Pongrácz E.;1.60
Yedla S.;1.60
Ciplak N.;1.60
Ng K.T.W.;1.57
Kumar S.;1.57
Afroz R.;1.55
Liu Y.;1.53
Lee C.K.M.;1.51
Geng Y.;1.50
Liu J.;1.49
Li P.;1.49
Asefi H.;1.49
Chen X.;1.49
Khan A.A.;1.49
Wang W.;1.48
Zhang W.;1.48
Oteng-Ababio M.;1.47
Fehr M.;1.47
Agunwamba J.C.;1.47
Khan B.A.;1.47
Begum R.A.;1.44
Goel S.;1.43
Yukalang N.;1.42
Mihai F.-C.;1.42
Olapiriyakul S.;1.42
Gupta S.;1.42
Wang S.F.;1.41
Poon C.S.;1.40
Yhdego M.;1.40
Karunasena G.;1.40
Wagner J.;1.40
Stenis J.;1.40
Mahpour A.;1.40
Bala B.K.;1.40
Wang L.;1.39
Howell J.P.;1.38
Hanaki K.;1.38
Gutberlet J.;1.37
Li B.;1.34
Farzadkia M.;1.34
Taghipour H.;1.34
Stanisavljevic N.;1.32
Ho W.S.;1.32
Tanaka M.;1.32
Tsai F.M.;1.30
Bovea M.D.;1.30
Eriksson M.;1.28
Read A.D.;1.28
Phillips P.S.;1.27
Lu H.;1.25
Hashim H.;1.25
David V.E.;1.25
Gentil E.;1.24
Visvanathan C.;1.22
Yu A.T.W.;1.22
Themelis N.J.;1.21
Beccarello M.;1.20
ElSaid S.;1.20
Zucchetti M.;1.20
Maalouf A.;1.20
Ling F.Y.Y.;1.20
Slagstad H.;1.20
Singh D.;1.20
Allesch A.;1.20
Srivastava A.K.;1.20
Eisted R.;1.20
Abila B.;1.20
Guo P.;1.20
Phonphoton N.;1.20
Skorupskaite K.;1.20
Chung S.-S.;1.20
Cretan I.A.;1.20
Ardi R.;1.20
Matsumoto S.;1.18
Abdulredha M.;1.18
Reich M.C.;1.17
Bundhoo Z.M.A.;1.16
Lee C.T.;1.16
Damgaard A.;1.14
Singh S.;1.14
Martinho G.;1.14
Towolioe S.;1.13
Ewing R.C.;1.12
Menikpura S.N.M.;1.12
Lin Y.T.;1.12
Brattebø H.;1.12
Fan Y.V.;1.12
Damanhuri E.;1.11
Chaudhry N.;1.10
Pham Phu S.T.;1.10
Zhu H.;1.09
Rodic L.;1.09
Agamuthu P.;1.07
Panepinto D.;1.07
Olukanni D.O.;1.07
Goulart Coelho L.M.;1.07
Brancoli P.;1.07
Masood M.;1.07
Fujiwara T.;1.04
Horttanainen M.;1.03
Ganguly R.;1.03
Grosso M.;1.03
Xu Q.;1.02
Hartlén J.;1.02
Drace Z.;1.02
Ghinea C.;1.02
Zhu J.;1.02
Townend W.K.;1.02
Demirbas A.;1.01
Hjelmar O.;1.01
Sharp A.;1.01
Trois C.;1.01
Chavalparit O.;1.01
Jiang P.;1.01
Shimizu Y.;1.00
Alter J.;1.00
Moretti C.J.;1.00
McLlvaine R.W.;1.00
Winaya I.N.A.P.;1.00
Kassim S.M.;1.00
Owens C.K.;1.00
Teshome F.B.;1.00
Ganesan P.;1.00
