Countries;Scores
India;146.73
China;129.53
United States;101.71
United Kingdom;91.43
Italy;71.16
Canada;65.48
Indonesia;62.61
Malaysia;55.55
Iran;47.30
Japan;44.53
Brazil;42.64
Australia;39.14
Sweden;37.67
Thailand;35.37
Spain;31.76
Nigeria;30.93
Turkey;29.71
Russian Federation;27.85
Denmark;26.13
Hong Kong;24.38
South Africa;22.68
Poland;22.09
Austria;21.05
Taiwan;20.13
Greece;19.37
Germany;18.42
Pakistan;17.11
Serbia;16.61
Portugal;14.83
Finland;13.04
France;12.13
Netherlands;11.77
Ghana;11.03
Belgium;10.91
Lebanon;10.69
South Korea;10.18
Egypt;10.12
Switzerland;10.07
Romania;9.77
Viet Nam;9.45
Singapore;9.21
Tanzania;9.13
Lithuania;9.11
New Zealand;9.03
Ethiopia;8.81
Bangladesh;7.87
Palestine;7.10
Sri Lanka;6.60
Croatia;6.60
Czech Republic;5.87
Philippines;5.84
Mexico;5.66
Norway;5.42
United Arab Emirates;4.39
Hungary;4.00
Ireland;3.94
Uganda;3.86
Botswana;3.73
Latvia;3.40
Nepal;3.40
Chile;3.09
Jordan;3.00
Mauritius;3.00
Estonia;2.96
Zimbabwe;2.81
Colombia;2.72
Israel;2.69
Saudi Arabia;2.39
Qatar;2.18
Oman;2.08
Ecuador;2.00
nan;2.00
Kenya;1.88
Ukraine;1.85
Bosnia and Herzegovina;1.72
Tunisia;1.54
Cyprus;1.50
Bulgaria;1.49
Cambodia;1.40
Kazakhstan;1.38
Iraq;1.33
Cuba;1.21
Malta;1.20
Kuwait;1.03
Peru;1.00
Rwanda;1.00
Puerto Rico;1.00
Fairchild Hiller;1.00
North Korea;1.00
Samoa;1.00
Dowell Schlumberger;1.00
Kyrgyzstan;1.00
Cameroon;0.83
Malawi;0.82
Muhammadiyah University of Kendari;0.82
Bahrain;0.79
Venezuela;0.60
Macau;0.60
Congo;0.50
Morocco;0.50
JGC Corporation;0.47
University of Malaysia Terengganu;0.47
Nicaragua;0.47
Slovenia;0.42
Stt. Spec. Enterprise Chornobyl NPP;0.40
Sudan;0.40
Slovakia;0.40
Mozambique;0.40
Yemen;0.40
Laos;0.40
Myanmar;0.40
Total E and P;0.37
Brunei Darussalam;0.37
Costa Rica;0.32
National Aerospace Laboratory;0.32
Syrian Arab Republic;0.32
National University of Malaysia;0.32
Bolivia;0.31
Mongolia;0.28
Enterprise Advisory Services Inc.;0.28
Somaliland;0.24
ExxonMobil Production Company;0.23
Institute for Environmental Science;0.21
Suez Canal University;0.21
Grenada;0.18
Haluoleo University;0.18
Lockheed Martin Mission Services;0.18
Luxembourg;0.17
Argentina;0.17
Saint Lucia;0.15
Agip Kazakhstan North Caspian Operating Company;0.15
Foothill College;0.12
BP Exploration;0.10
Senegal;0.07
Chevron Energy Technology Company;0.07
Hebee Ltd.;0.05
OGP;0.03
NUCEF;0.02
