Institutions;Scores
;370.00
University of Regina;23.30
Technical University of Denmark;16.68
Universitas Indonesia;13.88
North China Electric Power University;10.93
Chongqing University;10.34
University of Tehran;9.36
Tsinghua University;7.96
Chulalongkorn University;7.32
Hong Kong Polytechnic University;6.84
The University of Tokyo;6.60
National Cheng-Kung University;6.60
Silesian University of Technology;6.40
American University of Beirut;6.05
Vienna University of Technology;6.03
Diponegoro University;5.79
The Hong Kong Polytechnic University;5.72
University of Gävle;5.20
Tehran University of Medical Sciences;5.02
Thammasat University;5.00
University of Leeds;4.67
Southeast University;4.67
Islamic Azad University;4.63
Birzeit University;4.60
University of KwaZulu-Natal;4.60
National University of Singapore;4.60
University of South Australia;4.60
Shanghai Jiao Tong University;4.48
Southwest Jiaotong University;4.21
National Technical University of Athens;4.13
Ton Duc Thang University;4.10
Chalmers University of Technology;4.07
University of the Witwatersrand;4.07
University of Novi Sad;4.00
Jaypee University of Information Technology;4.00
Curtin University;4.00
Second University of Naples;4.00
University of Zagreb;4.00
University of Karabuk;4.00
Ghent University;3.95
University of Nigeria;3.88
Shenzhen University;3.83
University of Waterloo;3.75
Kaunas University of Technology;3.74
Covenant University;3.66
Brno University of Technology - VUT Brno;3.60
University of Cantabria;3.60
University of Toronto;3.60
Dokuz Eylul University;3.53
University of Western Sydney;3.48
Universitat Jaume I;3.47
Tongji University;3.46
Universitat Autònoma de Barcelona;3.42
University of New Hampshire;3.40
University of Central Florida;3.40
Yildiz Technical University;3.40
University of Auckland;3.40
RMIT University;3.35
Lund University;3.18
Multimedia University;3.13
Lappeenranta University of Technology;3.12
University of Sheffield;3.11
Middle East Technical University;3.08
University of Cambridge;3.03
University of the Punjab;3.02
Jordan University of Science and Technology;3.00
University of Bologna;3.00
Hong Kong University of Science and Technology;3.00
University of Ibadan;3.00
University of Salento;3.00
AGH University of Science and Technology;3.00
Moscow State University of Civil Engineering;3.00
University of Milano-Bicocca;3.00
University of Manchester;2.98
University of Cape Town;2.93
Aristotle University of Thessaloniki;2.92
Kyoto University;2.91
University of Virginia;2.80
Okayama University;2.79
Monash University Malaysia;2.79
Linköping University;2.69
Flinders University;2.68
McMaster University;2.63
Columbia University;2.61
Universitas Gadjah Mada;2.60
University of Surrey;2.60
University of Lagos;2.60
Czestochowa University of Technology;2.60
University of Moratuwa;2.60
University of Sharjah;2.60
Universidade Nova de Lisboa;2.60
University of Johannesburg;2.55
University of California;2.52
University of Ghana;2.47
Alexandria University;2.47
Swedish University of Agricultural Science;2.40
University of Modena and Reggio Emilia;2.40
Aalborg University;2.32
Hasanuddin University;2.32
University of Indonesia;2.21
University of South Wales;2.21
Federal University of Technology;2.21
Massey University;2.20
University of Melbourne;2.20
University of Malaya;2.19
Kingston University;2.18
University of Vaasa;2.18
University of Tokyo;2.17
Peking University;2.14
University Kebangsaan Malaysia;2.13
Wageningen University;2.13
University of Haifa;2.11
University of Brescia;2.10
Iran University of Medical Sciences;2.08
University of Gothenburg;2.08
International Islamic University Malaysia;2.07
University of Santiago de Compostela;2.07
Peter the Great St.Petersburg Polytechnic University;2.07
Educons University;2.07
Kwame Nkrumah University of Science and Technology;2.07
Northwestern Polytechnical University;2.07
Huazhong University of Science and Technology;2.05
Federal University of Santa Catarina;2.00
Bangladesh Agricultural University;2.00
University of Mauritius;2.00
University of Kalmar;2.00
Tallinn University of Technology;2.00
City University of New York;2.00
Shahid Beheshti University;2.00
Lappeenranta-Lahti University of Technology;2.00
Gautam Buddha University;2.00
Federal University of São Carlos;2.00
Vilnius Gediminas Technical University;2.00
Federal University of Rio de Janeiro;2.00
University of Siena;2.00
Norwegian University of Science and Technology;2.00
University of Warwick;2.00
University of Latvia;2.00
Tianjin Agricultural University;2.00
University of Sydney;2.00
University of Canterbury;2.00
Wageningen University and Research Centre;2.00
University of Oulu;2.00
Universitas Sumatera Utara;2.00
Suez Canal University;2.00
Open University;2.00
Pondicherry University;2.00
Mälardalen University;2.00
University of Queensland;2.00
Universal University;2.00
University of Botswana;2.00
Huanggang Normal University;2.00
University of Genoa;2.00
Kazan National Research Technological University;2.00
Rajshahi University of Engineering & Technology;2.00
Rowan University;2.00
Technische Universität Wien;2.00
Liaoning University of Technology;2.00
Amrita University;2.00
The Johns Hopkins University;2.00
University of Macerata;2.00
University of Granada;2.00
Nanyang Technological University;1.95
Banaras Hindu University;1.95
University of Aveiro;1.90
Hong Kong Baptist University;1.87
Dalhousie University;1.86
Ryerson University;1.85
Lanzhou University;1.81
Federal University of Minas Gerais;1.80
Loughborough University;1.80
Swedish University of Agricultural Sciences;1.76
Tianjin University;1.76
Tabriz University of Medical Sciences;1.75
Jadavpur University;1.73
University of Guelph;1.72
Beijing Normal University;1.72
Griffith University;1.72
Nanjing University of Science and Technology;1.70
University of Niš;1.68
National Taiwan University;1.68
Irkutsk National Research Technical University;1.68
Kobe University;1.67
University of Belgrade;1.62
An-Najah National University;1.61
University of Dar es Salaam;1.60
King Khalid University;1.60
University College London;1.60
Sebelas Maret University;1.60
University of Borås;1.60
Trakya University;1.60
Cracow University of Technology;1.60
RWTH Aachen University;1.60
University of Liverpool;1.60
Wuhan University of Technology;1.60
Manipal University;1.60
Cleveland State University;1.59
Saint Joseph University;1.54
National Taiwan Ocean University;1.53
Universitat Politècnica de Catalunya;1.53
Western Sydney University;1.52
South China University of Technology;1.52
Royal University of Phnom Penh;1.52
Manchester Metropolitan University;1.49
Peter the Great St. Petersburg Polytechnic University;1.48
University of Florida;1.48
University of Campinas;1.47
UiT the Arctic University of Norway;1.47
Bournemouth University;1.47
University of ReginaSK  S4S 0A2;1.47
Doon University;1.47
Zhejiang University;1.44
Hanyang University;1.43
University of Hong Kong;1.42
University of Southern Denmark;1.42
Makerere University;1.42
University of Northampton;1.41
King Mongkut's University of Technology Thonburi;1.40
University of Calgary;1.40
Aligarh Muslim University;1.40
Graz University of Technology;1.40
The University of Melbourne;1.40
Abia State University;1.40
King Mongkut’s University of Technology Thonburi;1.40
Aoyama Gakuin University;1.40
Leiden University;1.40
